Kingdom,Phylum,Class,Order,Family,Genus,Species,ASVs,S13_cyc_100_cont,S14_cyc_100_cont,S15_cyc_100_cont,S16_cyc_100_Fe,S17_cyc_100_Fe,S18_cyc_100_Fe,S19_cyc_DCM_cont,S20_cyc_DCM_cont,S21_cyc_DCM_cont,S22_cyc_DCM_Fe,S23_cyc_DCM_Fe,S24_cyc_DCM_Fe,S67_anti_100_cont,S68_anti_100_cont,S69_anti_100_cont,S70_anti_100_Fe,S71_anti_100_Fe,S72_anti_100_Fe,S73_anti_DCM_cont,S74_anti_DCM_cont,S75_anti_DCM_cont,S76_anti_DCM_Fe,S77_anti_DCM_Fe,S78_anti_DCM_Fe
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,marinus,ASV_1,12,21,8,25,33,39,7,16,13,85,7,6,6030,10611,11607,11467,5396,6435,283,206,294,359,197,175
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,marinus,ASV_2,97,59,61,74,87,99,17,15,8,17,11,9,2997,5246,5400,5436,2728,3120,227,152,225,252,141,136
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,ASV_3,869,1095,1197,971,818,1082,774,613,852,420,1516,1004,296,858,938,673,582,347,428,310,286,308,221,276
Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA,ASV_4,823,952,782,571,548,950,623,373,772,615,1124,815,223,608,665,548,364,319,1114,660,562,511,357,505
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,marinus,ASV_5,858,1155,662,962,1068,1180,1234,609,638,574,1170,1233,59,79,89,97,46,48,697,542,645,586,357,380
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA,ASV_6,1192,835,529,839,699,838,737,483,771,653,986,1163,186,290,375,254,197,174,484,464,387,403,320,307
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_7,525,644,374,683,580,728,714,361,375,342,684,699,127,153,164,149,74,104,906,767,880,910,528,606
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,ASV_8,529,569,714,463,459,782,394,314,482,233,652,455,365,900,1094,887,556,383,380,314,243,265,209,248
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,marinus,ASV_9,907,997,652,1059,960,1114,1047,454,571,480,966,978,48,49,64,73,23,23,129,98,105,128,46,79
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_10,241,318,162,306,278,345,426,176,196,209,376,377,95,66,81,106,47,60,1264,1061,1247,1184,708,838
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_11,446,565,561,443,392,734,394,277,461,236,616,349,218,511,486,416,327,209,312,280,230,274,172,262
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_12,403,390,452,366,335,453,308,214,288,152,538,341,274,633,678,500,391,295,273,224,188,164,131,192
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,NA,ASV_13,648,655,356,446,558,463,185,73,290,193,312,381,374,535,744,467,354,388,119,108,134,127,111,72
Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA,NA,ASV_14,486,403,205,233,402,311,271,246,276,297,533,533,294,380,473,363,333,240,249,351,283,359,284,253
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_15,269,320,388,280,262,440,353,235,350,193,570,358,123,329,373,296,243,153,337,313,250,222,195,231
Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116_clade,NA,NA,ASV_16,242,255,155,182,214,180,239,126,151,188,338,341,176,358,452,259,330,158,417,395,293,582,283,318
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_17,263,312,327,249,274,431,243,144,269,152,341,243,236,480,525,365,297,179,218,181,180,202,130,155
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_18,58,54,30,53,62,62,68,29,23,30,53,46,100,133,152,182,84,112,826,590,796,857,418,470
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,marinus,ASV_19,576,617,388,509,523,619,44,20,78,26,64,50,93,179,198,178,98,106,82,81,119,112,62,68
Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA,ASV_20,134,195,69,155,172,245,588,293,550,581,602,588,0,1,14,5,16,7,52,101,85,125,99,47
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA,NA,ASV_21,277,491,292,309,415,311,135,62,118,93,194,240,46,79,112,56,55,56,76,195,144,140,145,85
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV_22,329,545,231,218,297,293,245,246,201,142,364,425,51,72,81,60,52,50,44,55,33,33,28,28
Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA,ASV_23,102,136,108,75,68,154,84,42,56,58,105,72,172,254,354,306,224,162,295,194,193,326,183,233
Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116_clade,NA,NA,ASV_24,332,320,220,244,243,273,356,252,242,326,562,544,0,2,1,1,0,0,3,7,0,1,9,6
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_25,147,157,204,121,118,206,189,144,192,103,288,162,61,164,188,148,126,81,217,156,147,163,119,140
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_26,132,147,217,167,125,220,155,115,125,79,305,182,101,223,259,189,152,104,150,147,91,116,111,108
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_27,125,166,180,122,115,174,204,107,163,83,271,177,76,236,206,202,188,113,173,144,128,142,88,125
Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA,ASV_28,19,24,16,15,22,29,10,5,5,9,10,6,297,626,727,617,401,361,158,53,61,57,41,67
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_29,118,133,176,131,135,220,94,49,118,52,176,83,129,325,350,278,213,129,149,116,95,131,86,118
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_30,209,239,285,222,206,298,187,161,215,87,354,242,40,85,108,77,60,48,69,73,67,84,62,77
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_31,21,23,15,24,15,16,1,2,1,1,0,2,115,174,171,179,89,130,539,420,458,517,255,365
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_32,211,278,175,290,246,367,301,135,190,145,311,276,1,8,3,12,5,4,91,86,98,121,55,93
Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116_clade,NA,NA,ASV_33,136,112,91,98,110,90,111,77,74,106,152,154,101,172,196,152,183,104,300,178,162,273,175,149
Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA,ASV_34,177,211,202,143,138,231,86,60,130,104,208,98,87,177,260,185,136,122,206,133,69,78,67,84
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,marinus,ASV_35,271,343,194,324,315,398,141,69,89,69,138,154,31,86,61,53,36,39,118,74,87,108,49,55
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_36,118,147,91,145,100,162,190,68,74,89,163,174,19,18,20,24,10,13,285,232,300,329,164,230
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,ASV_37,7,4,0,5,6,8,749,2,339,1,678,1195,19,19,38,27,12,9,5,2,4,1,2,1
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_38,71,109,131,110,100,126,131,97,120,74,198,135,68,181,196,130,137,70,152,127,110,139,95,121
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA,ASV_39,10,24,36,2,23,52,22,2,1,4,17,27,453,576,430,646,135,278,12,14,18,17,12,12
Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA,ASV_40,333,391,303,238,265,347,97,65,160,116,187,131,11,25,19,17,15,4,25,12,16,12,15,13
Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA,NA,ASV_41,172,292,190,156,204,136,279,200,192,132,325,327,2,1,1,0,0,2,41,36,34,34,22,19
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,NA,ASV_42,241,488,229,388,401,200,56,51,169,41,57,47,39,62,71,49,37,23,11,16,5,20,16,8
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NA,NA,ASV_43,391,457,196,364,336,343,150,63,35,122,52,65,13,34,41,24,11,8,1,0,4,0,0,1
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV_44,165,207,80,98,145,137,46,31,34,41,40,60,117,179,251,152,134,96,141,118,84,116,84,62
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,NA,ASV_45,150,119,83,64,94,114,43,24,61,44,70,86,140,228,333,188,141,119,96,108,86,103,66,56
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_46,70,86,135,100,90,136,67,49,67,51,93,61,93,220,243,181,149,102,88,69,104,68,76,88
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,NA,ASV_47,178,183,92,154,159,144,60,23,89,68,98,113,110,181,255,155,96,116,37,43,31,43,35,20
Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA,ASV_48,142,157,149,112,135,181,125,115,191,179,306,220,5,15,11,12,5,2,117,70,49,48,31,55
Bacteria,SAR324_clade(Marine_group_B),NA,NA,NA,NA,NA,ASV_49,60,58,32,53,36,58,60,63,46,58,71,84,67,84,110,75,73,45,227,196,195,215,188,195
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_50,134,177,117,153,161,216,160,94,88,74,169,179,4,5,5,11,5,2,80,73,77,82,50,61
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA,NA,ASV_51,146,200,130,118,133,153,173,105,118,55,149,150,30,33,40,28,21,14,72,65,49,52,67,46
Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_52,3,3,4,3,0,2,1,1,0,1,1,0,212,401,454,452,235,274,6,7,10,6,7,5
Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,NA,NA,NA,ASV_53,33,51,32,48,39,38,62,35,12,40,92,77,58,120,163,84,63,55,196,180,132,204,123,108
Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_54,83,103,120,68,84,159,186,126,179,70,240,166,9,37,39,33,14,7,54,47,57,66,41,43
Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,NA,ASV_55,220,257,223,154,182,247,101,79,147,122,159,123,0,3,0,0,0,0,0,2,0,0,4,1
